index,mpg-city,mpg-highway,horsepower,torque
439,12,20,550,398
440,27,35,108,105
441,27,35,108,105
442,25,34,108,105
443,27,35,108,105
444,25,34,108,105
445,16,24,380,367
446,16,23,357,344
447,16,24,380,367
448,16,23,357,344
449,12,20,560,398
450,12,20,560,398
451,30,40,138,123
452,30,40,138,123
453,30,40,138,123
454,30,40,138,123
455,16,24,380,367
456,16,23,357,344
457,16,24,380,367
458,16,23,357,344
459,27,36,110,106
460,28,34,110,106
461,28,34,110,106
462,28,34,110,106
463,27,36,110,106
464,28,34,110,106
465,27,36,110,106
466,28,34,110,106
467,27,36,110,106
468,27,36,110,106
469,30,40,138,123
470,30,40,138,123
471,27,36,110,106
472,28,34,110,106
473,28,34,110,106
474,27,36,110,106
475,20,28,260,233
476,19,27,283,263
477,17,26,263,257
478,18,26,234,226
479,16,22,333,325
480,16,22,272,295
481,17,25,225,406
482,14,19,280,266
483,17,25,225,406
484,13,18,350,325
485,22,28,179,172
486,21,27,179,172
487,19,27,269,246
488,19,26,269,246
489,22,28,179,172
490,21,27,179,172
491,19,27,269,246
492,19,26,269,246
493,22,28,179,172
494,21,27,179,172
495,19,27,269,246
496,19,26,269,246
497,24,29,122,127
498,24,29,122,127
499,21,30,227,236
500,17,28,323,278
501,19,30,323,278
502,17,28,323,278
503,19,30,323,278
504,16,24,426,420
505,15,24,426,420
506,16,24,426,420
507,15,24,426,420
508,24,31,188,177
509,24,31,188,177
510,17,28,312,278
511,19,30,312,278
512,17,28,312,278
513,19,30,312,278
514,16,24,426,420
515,15,24,426,420
516,16,24,426,420
517,16,25,426,420
518,18,26,228,221
519,18,26,228,221
520,17,25,268,258
521,18,27,230,200
522,17,26,300,300
523,17,26,300,300
524,18,28,230,200
525,17,28,323,278
526,19,30,323,278
527,17,28,323,278
528,19,30,323,278
529,16,24,426,420
530,15,24,426,420
531,16,24,426,420
532,15,24,426,420
533,17,28,323,278
534,18,29,323,278
535,13,19,228,221
536,18,26,228,221
537,29,40,145,130
538,29,40,148,131
539,29,40,148,131
540,29,40,145,130
541,29,40,148,131
542,29,40,148,131
543,29,40,148,131
544,29,40,145,130
545,29,40,148,131
546,29,40,145,130
547,26,34,138,136
548,26,34,132,133
549,25,34,138,136
550,26,34,132,133
551,26,34,138,136
552,22,32,175,172
553,23,33,175,172
554,23,33,175,172
555,20,28,240,223
556,23,33,175,172
557,20,28,240,223
558,13,19,240,223
559,18,27,263,249
560,17,25,263,249
561,21,31,200,207
562,21,31,200,207
563,22,31,280,265
564,22,29,175,172
565,23,33,175,172
566,22,29,175,172
567,23,33,175,172
568,14,21,240,228
569,13,19,240,228
570,18,27,263,249
571,17,24,263,249
572,14,21,240,228
573,23,33,175,172
574,22,31,175,172
575,23,34,175,172
576,22,29,175,172
577,19,27,240,228
578,22,31,175,172
579,13,20,240,228
580,13,18,240,228
581,18,27,263,249
582,17,24,263,249
583,22,31,175,172
584,25,34,156,144
585,26,36,156,144
586,26,36,156,144
587,23,32,173,168
588,17,25,225,406
589,25,34,156,144
590,26,36,156,144
591,22,32,173,168
592,23,32,173,168
593,24,33,156,144
594,25,34,156,144
595,22,32,173,168
596,23,31,173,168
597,11,20,420,317
598,12,19,525,391
599,25,34,156,144
600,25,34,156,144
601,25,34,156,144
602,25,34,156,144
603,27,36,156,144
604,22,32,173,168
605,23,31,173,168
606,11,20,430,316
607,12,19,525,391
608,23,30,138,136
609,23,31,138,136
610,23,31,138,136
611,23,30,138,136
612,23,31,138,136
613,23,30,138,136
614,23,30,138,136
615,23,31,138,136
616,23,31,138,136
617,23,30,138,136
618,23,31,138,136
619,23,30,138,136
620,23,31,138,136
621,23,30,138,136
622,16,24,385,333
623,16,24,385,333
624,17,26,385,333
625,19,29,333,291
626,17,26,429,376
627,25,34,156,144
628,25,34,156,144
629,22,32,173,168
630,23,31,173,168
631,24,35,200,186
632,24,34,200,186
633,24,34,200,186
634,22,34,274,269
635,22,34,274,269
636,26,34,140,128
637,25,36,140,128
638,26,34,140,128
639,25,36,140,128
640,26,34,140,128
641,25,36,140,128
642,26,34,140,128
643,25,36,140,128
644,21,29,197,139
645,36,40,166,154
646,22,32,175,169
647,22,32,175,169
648,22,32,175,169
649,20,28,194,184
650,22,32,175,169
651,20,28,194,184
652,28,34,110,107
653,27,36,110,107
654,27,36,110,107
655,18,27,290,264
656,17,25,385,333
657,17,25,368,324
658,18,27,290,264
659,21,30,210,223
660,17,26,306,266
661,17,27,306,266
662,21,30,210,223
663,20,30,210,223
664,17,26,306,266
665,17,27,306,266
666,20,30,210,223
667,20,30,210,223
668,21,30,210,223
669,20,30,210,223
670,17,27,306,266
671,17,26,306,266
672,21,30,210,223
673,17,26,306,266
674,17,27,306,266
675,21,30,210,223
676,17,27,306,266
677,17,27,306,266
678,21,30,210,223
679,20,30,210,223
680,21,30,210,223
681,17,26,306,266
682,17,27,306,266
683,17,26,306,266
684,20,30,210,223
685,17,26,306,266
686,21,30,210,223
687,12,19,451,443
688,21,31,200,207
689,21,31,200,207
690,19,29,305,280
691,19,31,305,280
692,19,29,305,280
693,19,31,305,280
694,17,26,412,390
695,18,25,412,390
696,17,26,412,390
697,18,25,412,390
698,17,26,444,380
699,18,25,228,221
700,19,30,305,280
701,19,30,305,280
702,19,30,305,280
703,19,30,305,280
704,19,30,412,390
705,18,25,412,390
706,19,30,412,390
707,18,25,412,390
708,19,29,305,280
709,19,30,305,280
710,19,29,305,280
711,19,30,305,280
712,17,26,412,390
713,18,25,412,390
714,17,26,412,390
715,18,25,412,390
716,19,29,305,280
717,19,31,305,280
718,19,29,305,280
719,19,31,305,280
720,17,26,412,390
721,18,25,412,390
722,17,26,412,390
723,18,25,412,390
724,18,26,228,221
725,13,19,451,443
726,18,25,228,221
727,18,26,228,221
728,17,25,268,258
729,13,19,228,221
730,27,36,110,107
731,27,36,110,107
732,28,34,110,107
733,27,36,110,107
734,28,34,110,107
735,27,36,110,107
736,21,31,200,207
737,28,34,110,107
738,28,34,110,107
739,27,36,110,107
740,28,34,110,107
741,27,36,110,107
742,26,31,122,115
743,24,30,142,137
744,24,30,142,137
745,24,30,142,137
746,24,30,142,137
747,17,28,312,278
748,19,30,312,278
749,18,29,312,278
750,17,28,312,278
751,19,30,312,278
752,17,28,312,278
753,19,30,312,278
754,16,24,426,420
755,16,25,426,420
756,16,24,426,420
757,16,25,426,420
758,18,26,210,240
759,16,24,210,240
760,18,26,210,240
761,16,24,210,240
762,16,24,315,325
763,17,23,315,325
764,16,24,315,325
765,17,23,315,325
766,26,31,122,115
767,24,30,142,137
768,24,30,142,137
769,24,30,142,137
770,24,30,142,137
771,24,30,142,137
772,24,30,142,137
773,18,26,210,240
774,16,24,210,240
775,18,26,210,240
776,16,24,210,240
777,16,24,315,325
778,17,23,315,325
779,16,24,315,325
780,17,23,315,325
781,12,20,525,391
782,12,19,420,317
783,18,25,271,248
784,18,25,271,248
785,15,23,550,510
786,15,23,550,510
787,15,23,550,510
788,15,23,550,510
789,15,23,550,510
790,14,22,550,510
791,18,25,271,248
792,18,25,271,248
793,17,23,244,253
794,17,23,244,253
795,17,23,244,253
796,11,20,420,317
797,21,31,200,207
798,12,19,525,391
799,20,27,175,169
800,21,29,175,169
801,21,27,175,169
802,20,26,276,248
803,18,24,276,248
804,22,32,191,181
805,21,28,191,181
806,20,26,276,248
807,18,24,276,248
808,20,26,276,248
809,18,24,276,248
810,18,27,333,325
811,17,29,304,273
812,18,29,304,273
813,17,29,304,273
814,18,29,304,273
815,17,29,304,273
816,18,29,304,273
817,16,24,426,420
818,16,25,426,420
819,16,24,426,420
820,16,25,426,420
821,18,27,333,325
822,20,27,175,169
823,21,29,175,169
824,21,27,175,169
825,20,26,276,248
826,18,24,276,248
827,21,29,175,169
828,21,27,175,169
829,20,26,276,248
830,18,24,276,248
831,20,26,276,248
832,18,24,276,248
833,21,29,176,168
834,22,32,176,168
835,21,28,176,168
836,22,32,176,168
837,21,28,176,168
838,22,29,260,269
839,21,26,260,269
840,30,41,140,236
841,22,30,170,177
842,23,30,170,177
843,21,29,176,168
844,22,31,176,168
845,21,28,176,168
846,22,31,176,168
847,21,28,176,168
848,22,27,260,264
849,21,25,260,264
850,18,27,333,325
851,20,25,140,136
852,20,25,140,136
853,19,24,140,136
854,18,23,173,178
855,18,23,173,178
856,18,23,173,178
857,18,23,173,178
858,26,34,140,128
859,25,36,140,128
860,26,34,140,128
861,25,36,140,128
862,26,34,140,128
863,25,36,140,128
864,26,34,140,128
865,25,36,140,128
866,26,34,140,128
867,25,36,140,128
868,26,34,140,128
869,25,36,140,128
870,21,29,197,139
871,24,36,113,109
872,15,22,266,288
873,15,22,266,288
874,14,20,266,288
875,14,20,266,288
876,15,22,266,288
877,14,20,266,288
878,15,22,266,288
879,13,18,310,388
880,14,20,266,288
881,20,28,175,169
882,20,26,276,248
883,20,26,276,248
884,20,26,276,248
885,20,25,175,169
886,20,26,276,248
887,20,28,175,169
888,19,26,175,169
889,20,26,276,248
890,20,26,276,248
891,20,26,276,248
892,20,26,276,248
893,21,27,175,169
894,20,28,175,169
895,20,26,276,248
896,20,26,276,248
897,20,28,175,169
898,19,26,175,169
899,18,28,263,249
900,18,27,263,249
901,17,26,263,249
902,18,27,263,249
903,17,26,263,249
904,18,28,263,249
905,18,27,263,249
906,17,25,263,249
907,18,27,263,249
908,17,25,263,249
909,18,28,263,249
910,18,27,263,249
911,17,25,263,249
912,18,27,263,249
913,17,25,263,249
914,23,30,170,177
915,30,41,140,236
916,23,33,170,177
917,24,31,170,177
918,30,42,140,236
919,19,26,285,253
920,19,26,285,253
921,18,26,285,253
922,19,26,285,253
923,18,26,285,253
924,18,25,305,280
